xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
ARG,2017,FALSE,INC,,Male,,,B40,.4024653,2017
ARG,2017,FALSE,INC,,Male,,,T60,.5975348,2017
ARG,2017,FALSE,INC,U,,,,B40,.3996676,2017
ARG,2017,FALSE,INC,U,,,,T60,.6003324,2017
ARG,2018,FALSE,INC,,,,No education,B40,.4337421,2017
ARG,2018,FALSE,INC,,,,No education,T60,.5662578,2017
ARG,2018,FALSE,INC,,,,Primary education,B40,.4119011,2017
ARG,2018,FALSE,INC,,,,Primary education,T60,.5880989,2017
ARG,2018,FALSE,INC,,,,Secondary education,B40,.4140598,2017
ARG,2018,FALSE,INC,,,,Secondary education,T60,.5859402,2017
ARG,2018,FALSE,INC,,,,Tertiary education,B40,.1628852,2017
ARG,2018,FALSE,INC,,,,Tertiary education,T60,.8371148,2017
ARG,2018,FALSE,INC,,,0-14,,B40,.6140541,2017
ARG,2018,FALSE,INC,,,0-14,,T60,.3859459,2017
ARG,2018,FALSE,INC,,,15-64,,B40,.3846276,2017
ARG,2018,FALSE,INC,,,15-64,,T60,.6153724,2017
ARG,2018,FALSE,INC,,,>65,,B40,.1099709,2017
ARG,2018,FALSE,INC,,,>65,,T60,.8900291,2017
ARG,2018,FALSE,INC,,Female,,,B40,.4001515,2017
ARG,2018,FALSE,INC,,Female,,,T60,.5998485,2017
ARG,2018,FALSE,INC,,Male,,,B40,.3990204,2017
ARG,2018,FALSE,INC,,Male,,,T60,.6009796,2017
ARG,2018,FALSE,INC,U,,,,B40,.3996097,2017
ARG,2018,FALSE,INC,U,,,,T60,.6003903,2017
ARG,2019,FALSE,INC,,,,No education,B40,.4928744,2017
ARG,2019,FALSE,INC,,,,No education,T60,.5071256,2017
ARG,2019,FALSE,INC,,,,Primary education,B40,.4291257,2017
