xyzDMxyzCountry,xyzDMxyzYearRange,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDCxyzDistribution,xyzDPxyzSI_SPR_PCAP_ZG,xyzDCxyzPPPYear,xyzDMxyzCoverage
CAN,2014-2019,FALSE,INC,tot,.7753482,2017,N
CAN,2014-2019,FALSE,INC,m50,.9120439,2017,N
CAN,2014-2019,FALSE,INC,premium,.8342576,2017,N
CHE,2007-2012,FALSE,INC,b40,2.435884,2017,N
CHE,2007-2012,FALSE,INC,tot,.941013,2017,N
CHE,2007-2012,FALSE,INC,m50,1.372987,2017,N
CHE,2007-2012,FALSE,INC,premium,1.49487,2017,N
CHE,2008-2013,FALSE,INC,b40,1.5336,2017,N
CHE,2008-2013,FALSE,INC,tot,.6771684,2017,N
CHE,2008-2013,FALSE,INC,m50,.846436,2017,N
CHE,2008-2013,FALSE,INC,premium,.8564314,2017,N
CHE,2009-2014,FALSE,INC,b40,1.223366,2017,N
CHE,2009-2014,FALSE,INC,tot,.9938574,2017,N
CHE,2009-2014,FALSE,INC,m50,1.059369,2017,N
CHE,2009-2014,FALSE,INC,premium,.2295081,2017,N
CHE,2010-2015,FALSE,INC,b40,.9810587,2017,N
CHE,2010-2015,FALSE,INC,tot,.8402521,2017,N
CHE,2010-2015,FALSE,INC,m50,.8446267,2017,N
CHE,2010-2015,FALSE,INC,premium,.1408066,2017,N
CHE,2012-2017,FALSE,INC,b40,-.2592189,2017,N
CHE,2012-2017,FALSE,INC,tot,.3352466,2017,N
CHE,2012-2017,FALSE,INC,m50,.3082406,2017,N
CHE,2012-2017,FALSE,INC,premium,-.5944655,2017,N
CHE,2013-2018,FALSE,INC,b40,-.3389151,2017,N
CHE,2013-2018,FALSE,INC,tot,.083957,2017,N
CHE,2013-2018,FALSE,INC,m50,.2166744,2017,N
CHE,2013-2018,FALSE,INC,premium,-.4228721,2017,N
CHE,2015-2020,FALSE,INC,b40,.055358,2017,N
CHE,2015-2020,FALSE,INC,tot,.6915715,2017,N
CHE,2015-2020,FALSE,INC,m50,.2897812,2017,N
CHE,2015-2020,FALSE,INC,premium,-.6362135,2017,N
CHL,2006-2011,FALSE,INC,b40,3.856816,2017,N
CHL,2006-2011,FALSE,INC,tot,2.962798,2017,N
CHL,2006-2011,FALSE,INC,m50,2.959723,2017,N
CHL,2006-2011,FALSE,INC,premium,.8940177,2017,N
CHL,2009-2013,FALSE,INC,b40,7.728097,2017,N
CHL,2009-2013,FALSE,INC,tot,6.986681,2017,N
CHL,2009-2013,FALSE,INC,m50,6.955795,2017,N
CHL,2009-2013,FALSE,INC,premium,.741416,2017,N
CHL,2009-2015,FALSE,INC,b40,6.649215,2017,N
CHL,2009-2015,FALSE,INC,tot,5.444692,2017,N
CHL,2009-2015,FALSE,INC,m50,5.992875,2017,N
CHL,2009-2015,FALSE,INC,premium,1.204523,2017,N
CHL,2013-2017,FALSE,INC,b40,4.623915,2017,N
CHL,2013-2017,FALSE,INC,tot,3.464863,2017,N
CHL,2013-2017,FALSE,INC,m50,4.398421,2017,N
CHL,2013-2017,FALSE,INC,premium,1.159053,2017,N
CHL,2015-2020,FALSE,INC,b40,.4311777,2017,N
CHL,2015-2020,FALSE,INC,tot,1.85133,2017,N
CHL,2015-2020,FALSE,INC,m50,1.435258,2017,N
CHL,2015-2020,FALSE,INC,premium,-1.420152,2017,N
CHL,2017-2022,FALSE,INC,b40,3.143875,2017,N
CHL,2017-2022,FALSE,INC,tot,2.168188,2017,N
CHL,2017-2022,FALSE,INC,m50,3.197375,2017,N
CHL,2017-2022,FALSE,INC,premium,.9756873,2017,N
CHN,2013-2015,FALSE,CONS,b40,9.046131,2017,N
CHN,2013-2015,FALSE,CONS,tot,7.387998,2017,N
CHN,2013-2015,FALSE,CONS,m50,8.512753,2017,N
CHN,2013-2015,FALSE,CONS,premium,1.658134,2017,N
CHN,2013-2016,FALSE,CONS,b40,8.377629,2017,N
CHN,2013-2016,FALSE,CONS,tot,7.12143,2017,N
CHN,2013-2016,FALSE,CONS,m50,7.856055,2017,N
CHN,2013-2016,FALSE,CONS,premium,1.256199,2017,N
CHN,2014-2019,FALSE,CONS,b40,7.19521,2017,N
CHN,2014-2019,FALSE,CONS,tot,6.277579,2017,N
CHN,2014-2019,FALSE,CONS,m50,6.330503,2017,N
CHN,2014-2019,FALSE,CONS,premium,.9176302,2017,N
CHN,2015-2020,FALSE,CONS,b40,5.42338,2017,N
CHN,2015-2020,FALSE,CONS,tot,4.010106,2017,N
CHN,2015-2020,FALSE,CONS,m50,4.094388,2017,N
CHN,2015-2020,FALSE,CONS,premium,1.413274,2017,N
CIV,2008-2015,FALSE,CONS,b40,.7386241,2017,N
CIV,2008-2015,FALSE,CONS,tot,-.2243012,2017,N
CIV,2008-2015,FALSE,CONS,m50,.0452321,2017,N
CIV,2008-2015,FALSE,CONS,premium,.9629253,2017,N
CIV,2018-2021,FALSE,CONS,b40,1.208247,2017,N
CIV,2018-2021,FALSE,CONS,tot,-.6652838,2017,N
CIV,2018-2021,FALSE,CONS,m50,-.089266,2017,N
CIV,2018-2021,FALSE,CONS,premium,1.873531,2017,N
CMR,2007-2014,FALSE,CONS,b40,1.41063,2017,N
CMR,2007-2014,FALSE,CONS,tot,3.837257,2017,N
CMR,2007-2014,FALSE,CONS,m50,3.51109,2017,N
CMR,2007-2014,FALSE,CONS,premium,-2.426627,2017,N
COD,2004-2012,FALSE,CONS,b40,9.780542,2017,N
COD,2004-2012,FALSE,CONS,tot,9.832083,2017,N
COD,2004-2012,FALSE,CONS,m50,10.02955,2017,N
COD,2004-2012,FALSE,CONS,premium,-.0515404,2017,N
COG,2005-2011,FALSE,CONS,b40,3.347158,2017,N
COG,2005-2011,FALSE,CONS,tot,4.653708,2017,N
COG,2005-2011,FALSE,CONS,m50,4.91814,2017,N
COG,2005-2011,FALSE,CONS,premium,-1.30655,2017,N
COL,2008-2011,FALSE,INC,b40,7.292141,2017,N
COL,2008-2011,FALSE,INC,tot,4.169029,2017,N
COL,2008-2011,FALSE,INC,m50,5.064331,2017,N
COL,2008-2011,FALSE,INC,premium,3.123113,2017,N
COL,2008-2012,FALSE,INC,b40,6.232816,2017,N
COL,2008-2012,FALSE,INC,tot,3.469038,2017,N
COL,2008-2012,FALSE,INC,m50,4.906456,2017,N
COL,2008-2012,FALSE,INC,premium,2.763777,2017,N
COL,2009-2014,FALSE,INC,b40,5.952036,2017,N
COL,2009-2014,FALSE,INC,tot,4.553421,2017,N
COL,2009-2014,FALSE,INC,m50,5.473212,2017,N
COL,2009-2014,FALSE,INC,premium,1.398615,2017,N
COL,2010-2015,FALSE,INC,b40,5.043494,2017,N
COL,2010-2015,FALSE,INC,tot,2.521178,2017,N
