xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
BEL,2012-2017,FALSE,INC,m50,.4800703,2021,N,N
BEL,2012-2017,FALSE,INC,m50,.4800738,2017,N,N
BEL,2012-2017,FALSE,INC,premium,.050174,2017,N,N
BEL,2012-2017,FALSE,INC,premium,.0501754,2021,N,N
BEL,2012-2017,FALSE,INC,b40,.4857972,2021,N,N
BEL,2013-2018,FALSE,INC,premium,.5150498,2017,N,N
BEL,2013-2018,FALSE,INC,b40,1.459395,2017,N,N
BEL,2013-2018,FALSE,INC,tot,.9443467,2021,N,N
BEL,2013-2018,FALSE,INC,premium,.5150498,2021,N,N
BEL,2013-2018,FALSE,INC,m50,.9204942,2017,N,N
BEL,2013-2018,FALSE,INC,b40,1.459396,2021,N,N
BEL,2013-2018,FALSE,INC,tot,.9443449,2017,N,N
BEL,2013-2018,FALSE,INC,m50,.9204948,2021,N,N
BEL,2014-2019,FALSE,INC,m50,1.412471,2017,N,N
BEL,2014-2019,FALSE,INC,tot,1.393511,2021,N,N
BEL,2014-2019,FALSE,INC,tot,1.39351,2017,N,N
BEL,2014-2019,FALSE,INC,premium,.6855032,2017,N,N
BEL,2014-2019,FALSE,INC,b40,2.079013,2017,N,N
BEL,2014-2019,FALSE,INC,m50,1.41247,2021,N,N
BEL,2014-2019,FALSE,INC,b40,2.079012,2021,N,N
BEL,2014-2019,FALSE,INC,premium,.6855004,2021,N,N
BEL,2015-2020,FALSE,INC,premium,1.06922,2021,N,N
BEL,2015-2020,FALSE,INC,premium,1.069216,2017,N,N
BEL,2015-2020,FALSE,INC,m50,.9909757,2017,N,N
BEL,2015-2020,FALSE,INC,b40,2.142375,2017,N,N
BEL,2015-2020,FALSE,INC,tot,1.073158,2021,N,N
BEL,2015-2020,FALSE,INC,m50,.9909789,2021,N,N
BEL,2015-2020,FALSE,INC,b40,2.142378,2021,N,N
BEL,2015-2020,FALSE,INC,tot,1.073159,2017,N,N
BEL,2016-2021,FALSE,INC,m50,1.750344,2017,N,N
BEL,2016-2021,FALSE,INC,b40,2.834492,2021,N,N
BEL,2016-2021,FALSE,INC,premium,.7521167,2017,N,N
BEL,2016-2021,FALSE,INC,m50,1.750344,2021,N,N
BEL,2016-2021,FALSE,INC,b40,2.834488,2017,N,N
BEL,2016-2021,FALSE,INC,premium,.75212,2021,N,N
BEL,2016-2021,FALSE,INC,tot,2.082372,2017,N,N
BEL,2016-2021,FALSE,INC,tot,2.082372,2021,N,N
BEL,2017-2022,FALSE,INC,m50,.9846972,2017,N,N
BEL,2017-2022,FALSE,INC,m50,.9846978,2021,N,N
BEL,2017-2022,FALSE,INC,tot,1.144435,2017,N,N
BEL,2017-2022,FALSE,INC,premium,.9024694,2021,N,N
BEL,2017-2022,FALSE,INC,tot,1.144438,2021,N,N
BEL,2017-2022,FALSE,INC,premium,.9024707,2017,N,N
BEL,2017-2022,FALSE,INC,b40,2.046907,2021,N,N
BEL,2017-2022,FALSE,INC,b40,2.046906,2017,N,N
BEL,2018-2023,FALSE,INC,tot,1.123827,2021,N,N
BEL,2018-2023,FALSE,INC,m50,1.133565,2021,N,N
BEL,2018-2023,FALSE,INC,m50,1.133566,2017,N,N
BEL,2018-2023,FALSE,INC,premium,.2346463,2017,N,N
BEL,2018-2023,FALSE,INC,b40,1.35847,2017,N,N
BEL,2018-2023,FALSE,INC,b40,1.358471,2021,N,N
BEL,2018-2023,FALSE,INC,premium,.2346439,2021,N,N
BEL,2018-2023,FALSE,INC,tot,1.123824,2017,N,N
BEN,2011-2015,FALSE,CONS,premium,-5.082864,2021,N,N
BEN,2011-2015,FALSE,CONS,tot,.0982144,2017,N,N
BEN,2011-2015,FALSE,CONS,m50,1.791317,2017,N,N
BEN,2011-2015,FALSE,CONS,b40,-4.98102,2021,N,N
BEN,2011-2015,FALSE,CONS,b40,-5.007736,2017,N,N
BEN,2011-2015,FALSE,CONS,premium,-5.105951,2017,N,N
BEN,2011-2015,FALSE,CONS,tot,.1018444,2021,N,N
BEN,2011-2015,FALSE,CONS,m50,1.791314,2021,N,N
BEN,2018-2021,FALSE,CONS,b40,4.836183,2017,N,N
BEN,2018-2021,FALSE,CONS,m50,4.372966,2017,N,N
BEN,2018-2021,FALSE,CONS,tot,2.312297,2017,N,N
BEN,2018-2021,FALSE,CONS,premium,2.523886,2017,N,N
BEN,2018-2021,FALSE,CONS,m50,4.37297,2021,N,N
BEN,2018-2021,FALSE,CONS,tot,2.312301,2021,N,N
BEN,2018-2021,FALSE,CONS,b40,4.836177,2021,N,N
BEN,2018-2021,FALSE,CONS,premium,2.523876,2021,N,N
